iter	Logloss
0	0.6329114443
1	0.5843582075
2	0.5437961359
3	0.5142888323
4	0.4866618115
5	0.46748595
6	0.4531730473
7	0.4394681885
8	0.4284310326
9	0.4177594364
10	0.4083585885
11	0.4004373809
12	0.3907513389
13	0.3853475508
14	0.3802624973
15	0.3760727812
16	0.3721877584
17	0.3675967777
18	0.3636658578
19	0.3603408691
20	0.3548536252
21	0.3519929855
22	0.3488084383
23	0.3459289032
24	0.343994707
25	0.3414075358
26	0.3390537513
27	0.3370258085
28	0.3350844272
29	0.3328418935
30	0.3309497372
31	0.3289326907
32	0.3270140381
33	0.325815882
34	0.3249199286
35	0.3230031605
36	0.3214111539
37	0.3200929474
38	0.3191478285
39	0.3178954439
40	0.316823763
41	0.3140243025
42	0.312845825
43	0.3111250305
44	0.3096544837
45	0.3086610578
46	0.3072399369
47	0.3060961412
48	0.3052454252
49	0.3038820532
50	0.3028156502
51	0.3018521336
52	0.3004370971
53	0.2992288235
54	0.2985854096
55	0.297246429
56	0.2962801375
57	0.295510794
58	0.2947335873
59	0.2934240668
60	0.2921240675
61	0.291297852
62	0.2900938311
63	0.28955635
64	0.2888062433
65	0.2880388366
66	0.2868319486
67	0.2857539681
68	0.2841422391
69	0.2831151881
70	0.2822779146
71	0.2814639303
72	0.2803422041
73	0.2796272785
74	0.2788207316
75	0.2781484268
76	0.2767898153
77	0.275944416
78	0.2748167814
79	0.2739623205
80	0.2732846306
81	0.272076796
82	0.271204759
83	0.2703437791
84	0.2695143719
85	0.267917666
86	0.2673064928
87	0.2665665385
88	0.2656387216
89	0.264986465
90	0.2644031988
91	0.2636263309
92	0.2631572101
93	0.261923643
94	0.2612753212
95	0.2607654079
96	0.2598652376
97	0.258724568
98	0.2576515687
99	0.2569883248
100	0.2562575358
101	0.2555097553
102	0.2549253585
103	0.2539284114
104	0.2532648255
105	0.2526372944
106	0.2517988383
107	0.2508716923
108	0.2503951305
109	0.2500057471
110	0.2496900314
111	0.2492424432
112	0.2487316775
113	0.2480640286
114	0.247631442
115	0.2472275902
116	0.2469190908
117	0.2458871038
118	0.2452032912
119	0.2442288704
120	0.2435255404
121	0.2431406832
122	0.2425428961
123	0.2416819357
124	0.2410534604
125	0.2401764353
126	0.2389352381
127	0.2377253561
128	0.2370987041
129	0.2362575127
130	0.2354047255
131	0.235091733
132	0.2346038979
133	0.2340220933
134	0.2333591504
135	0.2330245607
136	0.2326930273
137	0.2323034207
138	0.2318199041
139	0.2313134355
140	0.2308868968
141	0.2304066528
142	0.2296113134
143	0.2285808626
144	0.2283339994
145	0.2275769117
146	0.2267131158
147	0.2262147899
148	0.225667932
149	0.2247858771
150	0.2242549534
151	0.2236041411
152	0.2233765431
153	0.2230144696
154	0.222142111
155	0.221657292
156	0.2210039914
157	0.2204773094
158	0.2199402602
159	0.2198023097
160	0.2192245439
161	0.2188356729
162	0.2179424718
163	0.2166689003
164	0.2157151379
165	0.2151585399
166	0.2145870338
167	0.2142167679
168	0.2137161478
169	0.2134608382
170	0.2130526833
171	0.2124393354
172	0.2116874405
173	0.2112023335
174	0.2105626266
175	0.2100325113
176	0.2095024083
177	0.2091907324
178	0.208356472
179	0.2077174233
180	0.2073817862
181	0.2072158329
182	0.2067597784
183	0.2060773261
184	0.2052678067
185	0.2046144804
186	0.2043370242
187	0.2040803424
188	0.2032078042
189	0.2029476068
190	0.2023852684
191	0.2016524375
192	0.2007831562
193	0.2003522092
194	0.1995553394
195	0.1989965311
196	0.1986906986
197	0.1982784826
198	0.1974307806
199	0.1971134628
200	0.1967778799
201	0.196395246
202	0.1961012381
203	0.195958608
204	0.1953905202
205	0.1949396023
206	0.1942735442
207	0.1938624303
208	0.1931235274
209	0.192790798
210	0.1922271778
211	0.1918679953
212	0.1912903429
213	0.1910595904
214	0.1908088087
215	0.1904983231
216	0.1901534899
217	0.1899549291
218	0.1895896497
219	0.188954783
220	0.1885633463
221	0.188052292
222	0.1876312512
223	0.1872661314
224	0.1870840653
225	0.1865393467
226	0.1862555276
227	0.1859818302
228	0.1858172957
229	0.1851919925
230	0.184903539
231	0.184490921
232	0.1842105734
233	0.1839440899
234	0.183815282
235	0.1836683723
236	0.1833199878
237	0.1829786065
238	0.1826629163
239	0.1823535048
240	0.181638769
241	0.1811032985
242	0.1806758482
243	0.1802503735
244	0.1797953865
245	0.1792258598
246	0.1788618493
247	0.1783988474
248	0.1780244678
249	0.1774359508
