iter	Passed	Remaining
0	24	6093
1	50	6306
2	77	6371
3	95	5883
4	113	5562
5	131	5332
6	149	5197
7	163	4959
8	180	4832
9	197	4739
10	216	4705
11	233	4634
12	251	4592
13	270	4565
14	290	4552
15	308	4505
16	322	4425
17	335	4329
18	350	4265
19	366	4210
20	384	4188
21	400	4146
22	417	4118
23	432	4076
24	449	4045
25	464	3997
26	479	3964
27	493	3915
28	509	3881
29	524	3844
30	540	3818
31	556	3791
32	572	3767
33	590	3754
34	608	3736
35	625	3718
36	640	3687
37	657	3665
38	672	3637
39	688	3612
40	704	3593
41	720	3569
42	736	3546
43	754	3532
44	769	3504
45	782	3470
46	796	3439
47	811	3413
48	824	3382
49	840	3360
50	853	3330
51	869	3309
52	883	3283
53	897	3256
54	910	3229
55	925	3205
56	939	3182
57	954	3160
58	970	3142
59	985	3119
60	997	3090
61	1010	3063
62	1022	3034
63	1034	3006
64	1047	2981
65	1063	2964
66	1076	2941
67	1093	2926
68	1107	2904
69	1121	2884
70	1135	2862
71	1148	2838
72	1161	2817
73	1174	2793
74	1186	2767
75	1199	2745
76	1211	2721
77	1224	2701
78	1238	2681
79	1253	2664
80	1271	2651
81	1283	2629
82	1297	2611
83	1314	2597
84	1327	2576
85	1342	2560
86	1358	2544
87	1374	2530
88	1388	2511
89	1401	2492
90	1418	2479
91	1434	2463
92	1447	2444
93	1459	2422
94	1472	2402
95	1488	2387
96	1504	2372
97	1521	2359
98	1536	2343
99	1550	2325
100	1562	2305
101	1574	2284
102	1586	2264
103	1601	2248
104	1616	2232
105	1630	2215
106	1646	2200
107	1662	2185
108	1676	2169
109	1691	2152
110	1706	2136
111	1722	2122
112	1739	2109
113	1753	2091
114	1767	2075
115	1782	2059
116	1799	2045
117	1814	2030
118	1831	2016
119	1847	2001
120	1879	2003
121	1907	2001
122	1935	1998
123	1962	1994
124	1990	1990
125	2019	1987
126	2045	1980
127	2070	1973
128	2088	1958
129	2104	1942
130	2116	1923
131	2129	1904
132	2142	1885
133	2155	1866
134	2169	1847
135	2180	1827
136	2192	1808
137	2204	1789
138	2216	1770
139	2230	1752
140	2244	1735
141	2257	1716
142	2271	1699
143	2283	1681
144	2297	1663
145	2310	1645
146	2321	1626
147	2334	1609
148	2346	1590
149	2358	1572
150	2369	1553
151	2381	1535
152	2394	1518
153	2409	1502
154	2425	1486
155	2439	1469
156	2452	1452
157	2468	1437
158	2485	1422
159	2499	1405
160	2511	1388
161	2523	1370
162	2534	1352
163	2547	1335
164	2560	1319
165	2572	1301
166	2588	1286
167	2600	1269
168	2612	1252
169	2623	1234
170	2634	1217
171	2646	1200
172	2658	1183
173	2669	1166
174	2682	1149
175	2694	1132
176	2706	1116
177	2720	1100
178	2736	1085
179	2750	1069
180	2764	1053
181	2775	1036
182	2786	1020
183	2799	1004
184	2810	987
185	2822	971
186	2834	954
187	2845	938
188	2856	921
189	2869	906
190	2884	891
191	2896	874
192	2907	858
193	2918	842
194	2929	826
195	2941	810
196	2955	795
197	2967	779
198	2981	764
199	2993	748
200	3005	732
201	3018	717
202	3032	702
203	3044	686
204	3055	670
205	3066	654
206	3077	639
207	3089	623
208	3100	608
209	3112	592
210	3126	577
211	3140	563
212	3151	547
213	3162	532
214	3177	517
215	3191	502
216	3205	487
217	3221	472
218	3232	457
219	3248	442
220	3261	428
221	3273	412
222	3285	397
223	3297	382
224	3312	368
225	3324	353
226	3338	338
227	3351	323
228	3361	308
229	3377	293
230	3389	278
231	3403	264
232	3418	249
233	3430	234
234	3441	219
235	3453	204
236	3466	190
237	3480	175
238	3493	160
239	3507	146
240	3522	131
241	3534	116
242	3546	102
243	3559	87
244	3573	72
245	3585	58
246	3599	43
247	3610	29
248	3624	14
249	3657	0
